threshold;tpr;fpr;ks;n_good;n_default;interest_good;mean_loan_default;mean_ann_default;mean_term_default;r_monthly;interest_default;rejected_good;rejected_default;approved_good;approved_default
inf;0.0;0.0;0.0;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;0;0;56483;4961
0.8951471341692855;0.00020157226365652087;0.0;0.00020157226365652087;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;0;1;56483;4960
0.7972015264636045;0.0012094335819391251;0.0;0.0012094335819391251;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;0;6;56483;4955
0.7846131168669727;0.0012094335819391251;1.7704442044508967e-05;0.0011917291398946162;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1;6;56482;4955
0.7494514746298627;0.0014110058455956461;1.7704442044508967e-05;0.0013933014035511372;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;1;7;56482;4954
0.7373430357734394;0.0014110058455956461;3.5408884089017933e-05;0.0013755969615066282;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;2;7;56481;4954
0.721526915416079;0.0028220116911912923;3.5408884089017933e-05;0.0027866028071022743;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;2;14;56481;4947
0.7128231335076969;0.0028220116911912923;7.081776817803587e-05;0.0027511939230132564;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;4;14;56479;4947
0.7108853360132316;0.003023583954847813;7.081776817803587e-05;0.002952766186669777;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;4;15;56479;4946
0.7106881156188413;0.003023583954847813;0.0001062266522670538;0.0029173573025807593;56483;4961;83849.26443686627;557778.5;26481.7;24.839959718026183;0.01319402574403036;100025.86126485397;6;15;56477;4946
